# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
1700015E13Rik	1700015E13Rik	NM_001039593.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700016C15Rik	1700016C15Rik	NM_027077.2		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	1700019A02Rik	NM_027070.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700019D03Rik	1700019D03Rik	NM_144953.2		0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
1700034P13Rik	1700034P13Rik	NR_040462.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700067G17Rik	1700067G17Rik	NR_040471.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2310007B03Rik	2310007B03Rik	NM_001159940.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2310007B03Rik	2310007B03Rik	NM_172411.4		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2310030A07Rik	2310030A07Rik	NR_040603.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2310035C23Rik	2310035C23Rik	NM_029349.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2310035C23Rik	2310035C23Rik	NM_173187.3		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2810459M11Rik	2810459M11Rik	NM_001144992.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2810459M11Rik	2810459M11Rik	NM_001144993.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3110009E18Rik	3110009E18Rik	NM_001172074.1		0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
3110009E18Rik	3110009E18Rik	NM_028439.2		0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
